Part #,Description,Product Group,Net Weight
99881,64 OZ MIX & MEASURE CONTAINER,MISCELLANEOUS,1
99877,64-OZ MIX & MEASURE CONTAINER CASE:10,MISCELLANEOUS,1.34
99867,64-OZ MIX & MEASURE CONTAINER CS:100 (3002),MISCELLANEOUS,13.4
109302,"7"" SPINFLEX PAD 100 GRIT (1586036)",BUDDY RHODES PRODUCTS,0.25
109260,"7"" SPINFLEX PAD 1500 GRIT (1586003)",BUDDY RHODES PRODUCTS,0.25
109274,"7"" SPINFLEX PAD 200 GRIT (1586037 CPS200)",BUDDY RHODES PRODUCTS,0.25
109285,"7"" SPINFLEX PAD 3000 GRIT (1586004)",BUDDY RHODES PRODUCTS,0.25
109264,"7"" SPINFLEX PAD 400 GRIT (1586001 CPS400)",BUDDY RHODES PRODUCTS,0.25
109237,"7"" SPINFLEX PAD 800 GRIT (1586002-CPS800)",BUDDY RHODES PRODUCTS,0.25
109284,"7"" WHITE FOAM BACKER HEAD (1586005)",BUDDY RHODES PRODUCTS,1
G300-FN7,"7/32"" (5.5 MM) FLUID NOZZLE",MISCELLANEOUS ACCESSORIES RAM,0.07
BALL1046,70-20 44LB (70-20 TINSIL 44 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1047,70-25 9 LB (70-25 TINSIL 9 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1048,70-30 40.8 LB (70-30 TINSIL 40.8 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1049,70-30 8.3LB (70-30 TINSIL 8.3 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1050,70-60 1.05LB (70-60 TINSIL 1.05 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1058,71 SERIES PART B 2 LB (71 SERIES PART B 2LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1051,71-11 16LB (71-11 PLATSIL 16 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1052,71-11 2LB (71-11 PLATSIL 2 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1053,71-20 16LB (71-20 PLATSIL 16 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1054,71-20 2LB (71-20 PLATSIL 2 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1055,71-35 44LB (71-35 PLATSIL 44 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1056,71-35 9LB (71-35 PLATSIL 9 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1057,71-40 9.8LB (71-40 PLATSIL 9.8 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1059,71/73R 1LB (71/73R PLATSIL RETARDER 1LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1060,71/73R 4OZ (71/73R PLATSIL RETARDER 4OZ),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1061,73-45 1LB (73-45 PLATSIL 1 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1089,74 PART A 2LB (74 - PART A 2 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1090,74 PART A 40LB (74 - PART A 40 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1091,74 PART A 8LB (74 - PART A 8 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1062,74-20 120LB (74-20 URETHANE 120 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1063,74-20 1350LB (74-20 URETHANE 1350 LB - DRUM KIT),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1064,74-20 24LB (74-20 URETHANE 24 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1065,74-20 40LB B (74-20 PART B 40 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1066,74-20 6LB (74-20 URETHANE 6 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1067,74-24 4LB (74-24 URETHANE 4 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1068,74-29 80LB (74-29 URETHANE 80 LB - BLACK),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1069,74-29 W 4LB (74-29 URETHANE 4 LB - WHITE),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1070,74-30 16LB (74-30 URETHANE 16 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1071,74-30 4LB (74-30 URETHANE 4 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1072,74-30 80LB (74-30 URETHANE 80 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1073,74-30 900LB (74-30 URETHANE 900 LB - DRUM KIT),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1074,74-30CL 16LB (74-30 CLEAR URETHANE 16 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1075,74-30CL 4LB (74-30 CLEAR URETHANE 4 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1076,74-30CL 80LB (74-30 CLEAR URETHANE 80 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1077,74-30CL 8LB PART B (74-30 CLEAR PART B 8 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1078,74-30HT 16LB (74-30HT HIGH TEAR URETHANE 16 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1079,74-30HT 4LB (74-30HT HIGH TEAR URETHANE 4 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1080,74-30HT 80LB (74-30HT HIGH TEAR URETHANE 80 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1081,74-30HT B 2LB (74-30HT PART B 2LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1082,74-40 120LB (74-40 URETHANT 120 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1083,74-41 16LB (74-41 URETHANE 16 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1084,74-45 16LB (74-45 URETHANE 16 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1085,74-45 4LB (74-45 URETHANE 4 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1086,74-45 80LB (74-45 URETHANE 80 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1087,74-45 900LB (74-45 URETHANE 900 LB - DRUM KIT),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1088,74-45 PART B 40LB (74-45 PART B 40LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1092,74/75 C 40LB (74/75 PART C 40LB SOFTENER),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1093,74/75 X 1LB (74/75X ACCELERATOR 1 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1094,74/75 X 8LB (74/75X ACCELERATOR 8 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1095,75-59 16LB (75-59 URETHANE 16 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1096,75-59 4LB (75-59 URETHANE 4 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1097,75-59 80LB (75-59 URETHANE 80 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1098,75-70 16LB (75-70 URETHANE 16 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1099,75-70 4LB (75-70 URETHANE 4 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1100,75-70 80LB (75-70 URETHANE 80 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1101,75-79 120LB (75-79 URETHANE 120LB),FORTON CONCRETE AND GYPSUM LATEX,0
LNJ149,7575 (CLEAR) 2OZ.,EPOXIES AND EPOXY ADHESIVES,0
777-5405,777-5405-20 INFUSION RESIN DRUM 485LBS,POLYESTER RESIN,485
PMA8,8 0Z PRO-TAC ADHESIVE,MISCELLANEOUS ACCESSORIES RAM,0
WATERMLN8OZ,8 OZ WATERMELON PLASTIC CAP APPLICATION MATERIAL,MISCELLANEOUS ACCESSORIES RAM,0
S-12881,8 X 4 AIR PILLOW FILM C/CT,RE-PACKAGING SUPPLIES,0
8R4-X,"8"" DBL END RIBBON TOOL",MISCELLANEOUS ACCESSORIES RAM,0.06
8R5-X,"8"" DBL END RIBBON TOOL",MISCELLANEOUS ACCESSORIES RAM,0
8R6-X,"8"" DBL END RIBBON TOOL",MISCELLANEOUS ACCESSORIES RAM,0.06
8R7-X,"8"" DBL END RIBBON TOOL",MISCELLANEOUS ACCESSORIES RAM,0.06
8R7,"8"" DBL END RIBBON TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0
8R4,"8"" DBL END RIBBON TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.03
8R3-X,"8"" DBL. END RIBBON TOOL",MISCELLANEOUS ACCESSORIES RAM,0.06
8G7-X,"8"" DBL. END WIRE TOOL",MISCELLANEOUS ACCESSORIES RAM,0.06
8G7,"8"" DBL. END WIRE TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.03
8R6,"8"" DOUBLE END RIBBON TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.03
8RT-X,"8"" RIBBON TOOL",MISCELLANEOUS ACCESSORIES RAM,0
13-0958,"8"" WHITE HANDLE SPATULA",MISCELLANEOUS,0
BALL1102,81-D45 9.6LB (81-D45 URETHANE 9.6 LB),FORTON CONCRETE AND GYPSUM LATEX,9.6
78680A,815C EPOXY RESIN TINTED BLACK 55-GAL (500# 226.80KGS),EPOXIES AND EPOXY ADHESIVES,500
8D4,"8D4 8"" DOUBLE WIRE END TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.03
8D4-X,"8D4-X 8"" DOUBLE WIRE END TOOL",MISCELLANEOUS ACCESSORIES RAM,0.06
8E5-X,"8E5-X 8"" DOUBLE WIRE END TOOL",MISCELLANEOUS ACCESSORIES RAM,0.06
8H8,"8H8 8"" DOUBLE WIRE END TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.03
8H8-X,"8H8-X 8"" DOUBLE WIRE END TOOL",MISCELLANEOUS ACCESSORIES RAM,0.06
101555,9 NEW ADDITIONS TO CAST MAGIC FLYER *PI,SALES AND MARKETING MATERIAL,0
G300-FN9,"9/32"" (7.1 MM) FLUID NOZZLE",MISCELLANEOUS ACCESSORIES RAM,0.07
916-30-VE,916-30-VE VINYL ESTER 5 GALLON (40# 18.15 KGS),POLYESTER RESIN,40
BALL1104,920206 (50# FASTSTONE 30G),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1106,920210 (40# FASTSTONE LT15G        ),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1107,920211 (40# FASTSTONE LT30),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1108,920212 (40# PAC STONE LT),FORTON CONCRETE AND GYPSUM LATEX,0
S-16419,99% ISOPROPYL ALCOHOL 16OZ,MISCELLANEOUS ACCESSORIES RAM,1
AR-ACCL-2OZ,A-R LATEX ACCELERATOR 2-OZ,AR-PRODUCTS PARTS,0.125
AR-ACCL-4OZ,A-R LATEX ACCELERATOR 4-OZ,AR-PRODUCTS PARTS,0.25
AR-SILCAT-QT,A-R SIL CATALYST QUART,AR-PRODUCTS PARTS,4
AR-30SIL-GL,A-R SIL GALLON,AR-PRODUCTS PARTS,8.8
AR-30SIL-QT,A-R SIL QUART,AR-PRODUCTS PARTS,2.2
AR-SMHS-PRLB,A-R SUPER MELT HS - PER LB,AR-PRODUCTS PARTS,1
AR-SMHS-5GL,A-R SUPER MELT HS 5 GALLON,AR-PRODUCTS PARTS,30
AR-SMHS-GL,A-R SUPER MELT HS GALLON,AR-PRODUCTS PARTS,6
AR-SMHS-QT,A-R SUPER MELT HS QUART,AR-PRODUCTS PARTS,1.5
109351,ABALONE SHELL - DARK (SHDARK),BUDDY RHODES PRODUCTS,0
ABS 060,ABS BLACK 24 X 48 X .060 PLASTIC SHEETING,MISCELLANEOUS ACCESSORIES RAM,0
ABS 090,ABS BLACK 24 X 48 X .090 PLASTIC SHEETING,MISCELLANEOUS ACCESSORIES RAM,0
ABS 118,ABS BLACK 24 X 48 X .118 PLASTIC SHEETING,MISCELLANEOUS ACCESSORIES RAM,0
ABS 118 W,ABS WHITE 24 X 48 X .060 PLASTIC SHEETING,MISCELLANEOUS ACCESSORIES RAM,0
109826,AC-24 CHARLOTTE SLATE (CC-AC-24),BUDDY RHODES PRODUCTS,0
109712,AC-28 SMOKE EMBERS (CC-AC-28),BUDDY RHODES PRODUCTS,0
109516,AC-32 PISMO DUNES (CC-SP-AC32),BUDDY RHODES PRODUCTS,0
109776,AC-38 NORTH HAMPTON BEIGE (CC-AC-38),BUDDY RHODES PRODUCTS,0
80823,ACCEL-T 1# CS: 6 (6# 2.72KGS),MISCELLANEOUS,6
80820A,ACCEL-T 2-OZ. (0.16#  74.00GMS),MISCELLANEOUS,0.163
80822,ACCEL-T CS:12 X 2-OZ (1.92# 0.88KGS),MISCELLANEOUS,1.92
80823A,ACCEL-T PINT (1# 0.45 KGS),MISCELLANEOUS,1
102533,ACCU-CAST 1-QUART HAND CASTING BUCKET,ACCUCAST,1
102516,ACCU-CAST 370-SD ALGINATE  10 LBS.,ACCUCAST,10
102412,ACCU-CAST 370-SD ALGINATE 25 LB. BAG,ACCUCAST,25
102515,ACCU-CAST 370-SD ALGINATE 5 LBS.,ACCUCAST,5
102515X,ACCU-CAST 370-SD ALGINATE 5 LBS.,ACCUCAST,5
120370,ACCU-CAST 370-SD ALGINATE 5 LBS. CS:4,ACCUCAST,20
102517,ACCU-CAST 370-SD ALGINATE 50 LBS.,ACCUCAST,50
102475,ACCU-CAST 390W CASCADE 5 LBS.,ACCUCAST,5
102534,ACCU-CAST 4-QUART HAND CASTING BUCKET,ACCUCAST,1
102523,ACCU-CAST 4X5 YD PLASTER BANDAGE,ACCUCAST,2
102554,ACCU-CAST 4X5 YD PLASTER BANDAGE CS:12,ACCUCAST,0
102454,ACCU-CAST 590-IBG 1 LB. (FOR FULL HEAD KIT),ACCUCAST,1
120450,ACCU-CAST 680-LS 2.5 LBS.,ACCUCAST,2.5
120352,ACCU-CAST 680-LS 55-GAL DRUM  100 LBS.,ACCUCAST,100
120451,ACCU-CAST 680-LS CASE:6 X 2.5 LBS.,ACCUCAST,15
126820,ACCU-CAST 880XT (BG) 1.6 LBS.  (FULL TORSO KIT),ACCUCAST,1.6
102584,ACCU-CAST A CREATIVE 25 LB,ACCUCAST,25
102405,ACCU-CAST ADULT HAND CAST KIT (GAL),ACCUCAST,5.9
120373,ACCU-CAST ADULT HAND CAST KIT (GAL)  CS:4,ACCUCAST,23.6
101545,ACCU-CAST ADULT HAND KIT INSTRUCTIONS *PI,SALES AND MARKETING MATERIAL,0
102425,ACCU-CAST ALGINATE FORMULA FOR PEPCREATIVE,ALGINATES- ALJASAFE,0
102408,ACCU-CAST BABY/CHILD HAND CASTING KIT,ACCUCAST,2.6
120382,ACCU-CAST BABY/CHILD HAND CASTING KIT CS:4,ACCUCAST,10.4
101546,ACCU-CAST BABY/CHILD HAND KIT INSTRUCTIONS *PI,SALES AND MARKETING MATERIAL,0
127410,ACCU-CAST BABYGEL 2 - 1 LB,ACCUCAST,1
127410X,ACCU-CAST BABYGEL 2 - 1 LB,ACCUCAST,1
127411,ACCU-CAST BABYGEL 2 - 1 LB CS:6,ACCUCAST,6
127420,ACCU-CAST BABYGEL 2 - 10 LBS,ACCUCAST,10
127430,ACCU-CAST BABYGEL 2 - 25 LBS,ACCUCAST,25
127440,ACCU-CAST BABYGEL 2 - 50 LBS,ACCUCAST,50
127450,ACCU-CAST BABYGEL 2 - 6-OZ BAG (BABY/CHILD HAND CASTING KIT),ACCUCAST,0.375
126840,ACCU-CAST BODYGEL (880) ALGINATE (2.5# 1.13KGS),ACCUCAST,2.5
126840X,ACCU-CAST BODYGEL (880) ALGINATE (2.5# 1.13KGS),ACCUCAST,2.5
120359,ACCU-CAST BODYGEL (880) ALGINATE 2.5 LB.CS:4 (10# 4.52KGS),ACCUCAST,10
126870,ACCU-CAST BODYGEL (880) ALGINATE 25 LB. BAG,ACCUCAST,25
126860,ACCU-CAST BODYGEL (880) ALGINATE 5 LBS.,ACCUCAST,5
126880,ACCU-CAST BODYGEL (880) ALGINATE 50 LB. BAG,ACCUCAST,50
102502X,ACCU-CAST BUCKETGEL (390) ALGINATE 1 LB.,ACCUCAST,1
102502,ACCU-CAST BUCKETGEL (390) ALGINATE 1 LB.,ACCUCAST,1
120371,ACCU-CAST BUCKETGEL (390) ALGINATE 1 LB. CS:6,ACCUCAST,6
102504,ACCU-CAST BUCKETGEL (390) ALGINATE 5 LBS.,ACCUCAST,5
102582,ACCU-CAST CEMENT KNIFE,ACCUCAST,1
102451,ACCU-CAST CHOLESTEROL 15 OZ.,ALGINATES- ALJASAFE,0.15
102556,ACCU-CAST CLAY BAG,ACCUCAST,1
102419,ACCU-CAST EMPIRE 2015 3 OZ,ACCUCAST,0.21
102401,ACCU-CAST FACE CASTING KIT,ACCUCAST,3.75
120383,ACCU-CAST FACE CASTING KIT CS:4,ACCUCAST,15
102491,ACCU-CAST FACEGEL (590) ALGINATE 1 LB.,ACCUCAST,1
102491X,ACCU-CAST FACEGEL (590) ALGINATE 1 LB.,ACCUCAST,1
120376,ACCU-CAST FACEGEL (590) ALGINATE 1 LB. CS:6,ACCUCAST,6
102492X,ACCU-CAST FACEGEL (590) ALGINATE 2.5 LBS.,ACCUCAST,2.5
102492,ACCU-CAST FACEGEL (590) ALGINATE 2.5 LBS.,ACCUCAST,2.5
120362,ACCU-CAST FACEGEL (590) ALGINATE 2.5 LBS. CS:6,ACCUCAST,15
102417,ACCU-CAST FACEGEL (590) ALGINATE 25 LB. BAG,ACCUCAST,25
102493,ACCU-CAST FACEGEL (590) ALGINATE 5 LBS.,ACCUCAST,5
102493X,ACCU-CAST FACEGEL (590) ALGINATE 5 LBS.,ACCUCAST,5
120363,ACCU-CAST FACEGEL (590) ALGINATE 5 LBS. CS:4,ACCUCAST,20
102496,ACCU-CAST FACEGEL (590) ALGINATE 50 LBS.,ACCUCAST,50
101575,ACCU-CAST FAMILY HAND CASTING INSTRUCTIONS *PI,SALES AND MARKETING MATERIAL,0.03
101550,ACCU-CAST FLYER COMBO *PBV,SALES AND MARKETING MATERIAL,0.02
102400,ACCU-CAST FOOT CASTING KIT,ACCUCAST,7.5
120384,ACCU-CAST FOOT CASTING KIT CS:4,ACCUCAST,30
101547,ACCU-CAST FOOT KIT INSTRUCTIONS *PI,SALES AND MARKETING MATERIAL,0
102409,ACCU-CAST FULL HEAD CASTING KIT,ACCUCAST,32.5
125460A,ACCU-CAST FUN SILICONE 1-GAL PART-A (8# 3.63KGS),SILICONES-PLATINUM,8
125460B,ACCU-CAST FUN SILICONE 1-GAL PART-B (8# 3.63KGS),SILICONES-PLATINUM,8
125461,ACCU-CAST FUN SILICONE 1-GAL UNIT (16# 7.26KGS),ACCUCAST,16
125470A,ACCU-CAST FUN SILICONE 5-GAL PART-A (40# 18.14KGS),SILICONES-PLATINUM,40
125470B,ACCU-CAST FUN SILICONE 5-GAL PART-B (40# 18.14KGS),SILICONES-PLATINUM,40
125471,ACCU-CAST FUN SILICONE 5-GAL UNIT (80# 36.28KGS),ACCUCAST,80
125444,ACCU-CAST FUN SILICONE CS:4 PINT UNITS (8# 3.60KGS),SILICONES-PLATINUM,8
125440A,ACCU-CAST FUN SILICONE PINT PART-A (1# 0.45KGS),SILICONES-PLATINUM,1
125440B,ACCU-CAST FUN SILICONE PINT PART-B (1# 0.45KGS),SILICONES-PLATINUM,1
125441,ACCU-CAST FUN SILICONE PINT UNIT (2# 0.90KGS),SILICONES-PLATINUM,2
102406,ACCU-CAST HAND CAST FAMILY KIT,ACCUCAST,12.5
102484,ACCU-CAST HANDGEL (570) ALGINATE 25 LBS.,ACCUCAST,25
102476,ACCU-CAST HANDGEL (570) ALGINATE 5 LBS.,ACCUCAST,5
102476X,ACCU-CAST HANDGEL (570) ALGINATE 5 LBS.,ACCUCAST,5
120367,ACCU-CAST HANDGEL (570) ALGINATE 5 LBS. CS:4,ACCUCAST,20
102485,ACCU-CAST HANDGEL (570) ALGINATE 50 LBS.,ACCUCAST,50
120134,ACCU-CAST HOOK FOR FACE & TORSO KITS,ACCUCAST,0.01322
102583,ACCU-CAST LIFECASTING TOOL KIT,ACCUCAST,2
104428,ACCU-CAST LIQUISTONE GYPSUM CEMENT 15 LBS.,ACCUCAST,15
102427,ACCU-CAST LIQUISTONE GYPSUM CEMENT 25 LBS.,ACCUCAST,25
104429,ACCU-CAST LIQUISTONE GYPSUM CEMENT 5 LBS.,ACCUCAST,5
120812,ACCU-CAST LIQUISTONE GYPSUM CEMENT 5 LBS. CS:4,ACCUCAST,20
102455,ACCU-CAST MIB (570-PGV 1 LB.) FOOT CASTING KIT,ACCUCAST,1
102525,ACCU-CAST MIB ALGINATE FOR ADULT HAND CASTING KIT (570),ACCUCAST,1.5
102526,ACCU-CAST MIB ALGINATE FOR FAMILY HAND CAST KIT,ACCUCAST,3
102527,ACCU-CAST PAINT- FLASH COPPER SHEER (LIFECASTING),ACCUCAST,1
102558,ACCU-CAST PEP CREATIVE ALGINATE 50 LBS.,ACCUCAST,50
102434,ACCU-CAST PHASE 2 DENTAL GEL 1 LB.  REFILL BAG,ACCUCAST,1
102422,ACCU-CAST PHASE 2 DENTAL GEL ALGINATE 5 LB. REFILL,ACCUCAST,5
104431,ACCU-CAST PINK HOUSE FORMULA  CS:2 X 22 LBS.,ACCUCAST,44
102586,ACCU-CAST PINK HOUSE FORMULA 2.5 LBS.,ACCUCAST,2.5
104430,ACCU-CAST PINK HOUSE FORMULA 22 LBS.,ACCUCAST,22
102532,ACCU-CAST PLASTIC SPATULA,ACCUCAST,1
102529,ACCU-CAST POWER MIXER,ACCUCAST,1
101556,ACCU-CAST PREGNANCY/TORSO KIT STEP-BY-STEP,ACCUCAST,0
120321,ACCU-CAST SPS FORMULA ALG 25 LB. BOX,ACCUCAST,25
102439,ACCU-CAST SPS-ALGSOCK (370) 5 LB. BOX,ACCUCAST,5
102531,ACCU-CAST SYRINGE- CATHETER TIP,ACCUCAST,1
102528,ACCU-CAST THERMOMETER,ACCUCAST,1
102404,ACCU-CAST TORSO/PREGNANCY CASTING KIT,ACCUCAST,17.5
120387,ACCU-CAST TORSO/PREGNANCY CASTING KIT CS:2,ACCUCAST,35
102600,ACCU-CAST WEE PIGGIES (380W) 25 LBS.,ACCUCAST,25
102530,ACCU-CAST WHISK,ACCUCAST,1
ACETONE1GAL,ACETONE REAGANT 1-GALLON,MISCELLANEOUS ACCESSORIES RAM,6.5
ACETONE1QRT,ACETONE REAGANT 1-QUART,MISCELLANEOUS ACCESSORIES RAM,2.2
135770,ACITVATED CARBON HEAT SEAL BAG (OCTAPOL BLACK),MISCELLANEOUS,0.2445
29660A,ACROBAT  BOX (3# 1.36KGS),ALGINATES- ALJASAFE,3
29670A,ACROBAT 5-GAL BOX (20# 9.07KGS),ALGINATES- ALJASAFE,20
29680A,ACROBAT 50 LB BOX (50# 22.68KGS),ALGINATES- ALJASAFE,50
101310,ACROBAT FLYERS W/RESIN FLYER  (7135) *PI,SALES AND MARKETING MATERIAL,0.01
K1303,ACRYLIC CRYSTAL CLEAR  11OZ,MISCELLANEOUS ACCESSORIES RAM,1
K1311,ACRYLIC CRYSTAL CLEAR MATTE FINISH  11OZ,MISCELLANEOUS ACCESSORIES RAM,1
K1323,ACRYLIC CRYSTAL CLEAR SATIN FINISH  11OZ,MISCELLANEOUS ACCESSORIES RAM,1
109646,ACRYLIC FIBER | ARTISAN MIX - 10 GM (AM-AC50),BUDDY RHODES PRODUCTS,0.02203
110540,ADDITIVE 5802 PINT (1# 0.45KGS),MISCELLANEOUS,0
86570A,ADELL 86-38 5-GAL PART-A (40#),SILICONES-PLATINUM,40
86570B,ADELL 86-38 5-GAL PART-B (40#),SILICONES-PLATINUM,40
86571,ADELL 86-38 5-GAL UNIT (80#),SILICONES-PLATINUM,80
48050A,ADELL 98-201 5-GAL PART-A (40#),CASTING RESINS,40
48050B,ADELL 98-201 5-GAL PART-B (36#),CASTING RESINS,36
48051,ADELL 98-201 5-GAL UNIT (76#),CASTING RESINS,76
52458,ADTECH 820 EPOXY LAMINATING RESIN 5 GALLON 42.5LBS,CASS POLYMER,42.5
52539,ADTECH 822 EPOXY HARDENER 1 GALLON 7.65LBS,CASS POLYMER,7.65
X622003,ADTECH EA-622 R/H 1 GAL. KIT,MISCELLANEOUS ACCESSORIES RAM,0
XX14238,ADTECH P-14 ULTRA FILLER- GL (12.75#),CASS POLYMER,12.75
XX14128,ADTECH P-14 ULTRA FILLER- QT (3#),CASS POLYMER,3
AA3301,ADTEK TCC-301 RESIN 1 GAL CATALOUGE,MISCELLANEOUS ACCESSORIES RAM,0
101451,ADVANCED TECHNIQUES FOR MAKING GFRC DVD *PI,SALES AND MARKETING MATERIAL,0.06
AEROSIL-200,AEROSIL- 200 (10#),SANCO,10
70522,AEROSOL CONCENTRATE 20B DRUM,MANN- RELEASE AGENTS,375
70552,AEROSOL CONCENTRATE 230B DRUM,MANN- RELEASE AGENTS,225
70562,AEROSOL CONCENTRATE 2910B 5-GAL,MANN- RELEASE AGENTS,30
70532,AEROSOL CONCENTRATE 30B DRUM,MANN- RELEASE AGENTS,145
70542,AEROSOL CONCENTRATE 40B 5-GAL PAIL,MANN- RELEASE AGENTS,40
70572,AEROSOL CONCENTRATE 700B 5-GAL,MANN- RELEASE AGENTS,30
109686,AF-100 PASHMINA (CC-AF-100),BUDDY RHODES PRODUCTS,0
109766,AF-180 WENGE (CC-AF-180),BUDDY RHODES PRODUCTS,0
109758,AF-555 MONTPELIER (CC-AF-555),BUDDY RHODES PRODUCTS,0
109820,AF-685 THUNDER (CC-AF-685),BUDDY RHODES PRODUCTS,0
109209,AF-90 HARMONY 40# BOX (AF-90-40#BOX),BUDDY RHODES PRODUCTS,0
101218,AFTER THE STORM - FLYER (7079) *PI,SALES AND MARKETING MATERIAL,0.01
SWSCA-21,AGE MAKEUP - LIGHT TO MODERATE AGING - B. BURMAN,MISCELLANEOUS ACCESSORIES RAM,0.175
C93-A,AIR POWERED CHOPPER,MISCELLANEOUS ACCESSORIES RAM,0
109312,AIR-MINUS (CCI 95996),BUDDY RHODES PRODUCTS,0
BALL1109,AL LAMP (ALCOHOL LAMP W/SCREW ADJUST),FORTON CONCRETE AND GYPSUM LATEX,0.6
BALL1110,AL WICK (WICK FOR ALCOHOL LAMP),FORTON CONCRETE AND GYPSUM LATEX,0.006
DFAHA2,ALANNA H2.O PREMIUM FULL ARMATURE (LIFE-SIZE),MISCELLANEOUS ACCESSORIES RAM,3
22880A,ALGINATE  101-50SA  50 LB BOX (50# 22.68KGS),MISCELLANEOUS,50
86000A,ALGINATE (SM) 87715-1,ALGINATES- ALJASAFE,3
102443,ALGINATE 590 IBG 4 OZ BAG (FACE KIT),ACCUCAST,0.25
102117,ALIGNMENT PLUG,MISCELLANEOUS,0
86040A,ALJA-SAFE 1#  FOR STARTER KIT (0.85# 0.39KGS),ALGINATES- ALJASAFE,0.85
86070A,ALJA-SAFE 5-GAL BOX (20# 9.07KGS),ALGINATES- ALJASAFE,20
86010A,ALJA-SAFE 50 LB BOX (50# 22.68KGS),ALGINATES- ALJASAFE,50
86060A,ALJA-SAFE BOX (3# 1.36KGS),ALGINATES- ALJASAFE,3
101404,ALJA-SAFE BREEZE & ZOMBIE KIT FLYER (*PI),SALES AND MARKETING MATERIAL,0.01
86050A,ALJA-SAFE GAYLORD TOTE (527# 239.05KGS),ALGINATES- ALJASAFE,527
34140B,ALJA-SAFE LIQUID BREEZE 1 PINT (1.1# 0.50KGS),ALGINATES- ALJASAFE,1.1
34160B,ALJASAFE LIQUID BREEZE 1-GAL (9# 4.08KGS),ALGINATES- ALJASAFE,9
